paper_id,equation_id,texbleu,levenshtein_distance,sequence_similarity,rouge_l,avg_tree_edit_distance,individual_ted_scores
ICLR_2024_oral_16,5,0.6162,0.7519,0.825531914893617,0.8254,1.0,[1.0]
ICLR_2024_oral_16,6,0.8097,0.8866,0.9375,0.9697,0.8888888888888888,[np.float64(0.8888888888888888)]
ICLR_2024_oral_16,7,0.1288,0.3378,0.5050505050505051,0.5301,0.0,[np.float64(0.0)]
ICLR_2024_oral_16,8,0.2767,0.3913,0.4634146341463415,0.6047,1.0,[1.0]
ICLR_2024_oral_16,9,0.5286,0.4474,0.3152454780361757,0.48,1.0,[np.float64(1.0)]
ICLR_2024_oral_16,10,0.8118,0.5362,0.7084870848708487,0.6957,1.0,[1.0]
ICLR_2024_oral_21,1,0.848,0.4386,0.5849056603773585,0.5806,0.6875,[np.float64(0.6875)]
ICLR_2024_oral_21,2,0.7707,0.6,0.6268656716417911,0.6364,1.0,[1.0]
ICLR_2024_oral_21,3,0.5509,0.5714,0.718562874251497,0.72,1.0,[1.0]
ICLR_2024_oral_23,1,0.4323,0.6515,0.7818181818181819,0.7879,0.5333333333333333,[np.float64(0.5333333333333333)]
ICLR_2024_oral_23,2,0.5543,0.5926,0.7219917012448133,0.7463,1.0,[1.0]
ICLR_2024_oral_23,3,0.7964,0.4444,0.608,0.6316,1.0,[1.0]
ICLR_2024_oral_23,4,0.4131,0.4756,0.6222222222222222,0.5405,1.0,[1.0]
ICLR_2024_oral_23,5,0.6406,0.5556,0.4943820224719101,0.6575,1.0,[1.0]
ICLR_2024_oral_23,6,0.7864,0.4026,0.4675324675324675,0.4681,1.0,[1.0]
ICLR_2024_oral_23,7,0.5554,0.2174,0.3076923076923077,0.3462,1.0,[1.0]
ICLR_2024_oral_23,8,0.4668,0.3473,0.38869257950530034,0.3077,1.0,[1.0]
ICLR_2024_oral_23,9,0.2299,0.2752,0.38095238095238093,0.4048,0.6666666666666666,[np.float64(0.6666666666666666)]
ICLR_2024_oral_23,10,0.315,0.3,0.36771300448430494,0.1786,0.8,[np.float64(0.8)]
ICLR_2024_oral_23,11,0.4758,0.4135,0.4827586206896552,0.4348,0.6666666666666666,[np.float64(0.6666666666666666)]
ICLR_2024_oral_23,12,0.7469,0.2718,0.39751552795031053,0.4286,1.0,[1.0]
ICLR_2024_oral_24,1,0.4506,0.2203,0.4,0.5161,0.9411764705882353,[np.float64(0.9411764705882353)]
ICLR_2024_oral_24,2,0.4833,0.5789,0.7133757961783439,0.717,0.0,[np.float64(0.0)]
ICLR_2024_oral_24,3,0.8074,0.7579,0.8783068783068783,0.871,0.0,[np.float64(0.0)]
ICLR_2024_oral_24,4,0.708,0.4095,0.46,0.5312,0.0,[np.float64(0.0)]
ICLR_2024_oral_24,5,0.0457,0.1871,0.2684931506849315,0.3214,1.0,[1.0]
ICLR_2024_oral_24,6,0.4177,0.3545,0.43529411764705883,0.449,0.9,[np.float64(0.9)]
ICLR_2024_oral_24,7,0.0296,0.1693,0.2670157068062827,0.2609,0.0,[np.float64(0.0)]
ICLR_2024_oral_24,8,0.7901,0.365,0.2033096926713948,0.4333,1.0,[1.0]
ICLR_2024_oral_24,9,0.7686,0.3248,0.2971014492753623,0.2857,0.8,[np.float64(0.8)]
ICLR_2024_oral_24,10,0.367,0.3907,0.5394190871369294,0.5231,1.0,[1.0]
ICLR_2024_oral_24,11,0.2658,0.2591,0.25059101654846333,0.1778,1.0,[1.0]
